"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"test7";1;"LOGO";;;
2;"D4,D3";"D_0402_1005Metric";2;"RED";;;
3;"C18,C17";"C_0402_1005Metric";2;"2.2uF";;;
4;"C7,C4,C3";"C_0402_1005Metric";3;"10uF";;;
5;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Power";;;
6;"C1,C8,C9,C10,C11,C12,C13,C14,C15,C16";"C_0402_1005Metric";10;"100nF";;;
7;"C2";"C_0402_1005Metric";1;"10nF";;;
8;"C5,C6";"C_0402_1005Metric";2;"20pF";;;
9;"D1,D2";"D_SOD-123";2;"B5819W";;;
10;"F1";"Fuse_0805_2012Metric";1;"500mA";;;
11;"FB1,FB2";"L_0805_2012Metric";2;"100 @100MHz";;;
12;"HSE1";"Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm";1;"25MHz";;;
13;"J2";"PinHeader_2x05_P1.27mm_Vertical_SMD";1;"ARM 10-Pin Conector";;;
14;"J4";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
15;"J5,J6";"PinHeader_1x24_P2.54mm_Vertical";2;"Conn_01x24";;;
16;"R1";"R_0402_1005Metric";1;"220";;;
17;"R2,R3";"R_0402_1005Metric";2;"22";;;
18;"R4,R9";"R_0402_1005Metric";2;"2.2k";;;
19;"R7,R8";"R_0402_1005Metric";2;"10k";;;
20;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
21;"U2";"LQFP-64_10x10mm_P0.5mm";1;"STM32F405RGT6";;;
